"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Barak and Others Basin","Barak","2023-03-22","2023","03","7.1053974564","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-21","2023","03","6.5901553496","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-23","2023","03","3.1923949879","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-24","2023","03","1.4589560469","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-25","2023","03","0.4203755844","NRSC VIC MODEL"
"Barak and Others Basin","Barak","2023-03-26","2023","03","0.6596223737","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-02","2023","03","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-01","2023","03","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-03","2023","03","0.0077746523","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-04","2023","03","0.0079433964","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-05","2023","03","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-06","2023","03","0.0002617813","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-07","2023","03","0.000202917","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-08","2023","03","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-09","2023","03","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-10","2023","03","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-11","2023","03","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-13","2023","03","0.0003199549","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-12","2023","03","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-14","2023","03","NA","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-15","2023","03","1.5420564042","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-16","2023","03","6.1276934995","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-17","2023","03","4.2067843824","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-18","2023","03","0.8112950574","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-19","2023","03","10.1347479778","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-20","2023","03","21.2093334282","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-21","2023","03","24.3682260254","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-22","2023","03","16.1199236524","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-23","2023","03","1.6597701399","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-24","2023","03","0.0010417956","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-25","2023","03","2.182456371","NRSC VIC MODEL"
"Barak and Others Basin","Kynchiang and other south flowing rivers","2023-03-26","2023","03","0.1552737924","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-02","2023","03","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-01","2023","03","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-03","2023","03","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-04","2023","03","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-05","2023","03","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-06","2023","03","0.0440105392","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-07","2023","03","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-08","2023","03","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-09","2023","03","0.014184847","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-10","2023","03","0.0230857356","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-11","2023","03","0.0456887515","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-13","2023","03","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-12","2023","03","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-14","2023","03","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-15","2023","03","0.1879155275","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-16","2023","03","3.9814117604","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-17","2023","03","3.5626023046","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-18","2023","03","0.358962207","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-19","2023","03","4.7736333981","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-20","2023","03","9.9513949365","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-21","2023","03","3.6799704621","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-22","2023","03","8.7819789966","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-23","2023","03","2.1038938801","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-24","2023","03","2.4676089751","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-25","2023","03","0.0613823797","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2023-03-26","2023","03","4.1614802839","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-02","2023","03","0.0557140674","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-01","2023","03","0.0023151419","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-03","2023","03","0.1983624341","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-04","2023","03","0.0323051166","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-05","2023","03","0.1701094716","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-06","2023","03","0.3416270981","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-07","2023","03","0.5092014565","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-08","2023","03","0.0144440713","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-09","2023","03","0.2920658112","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2023-03-10","2023","03","0.0686514006","NRSC VIC MODEL"
