"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Barak and Others Basin","Naoch chara and others","2022-11-11","2022","11","0.0033633709","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-11-12","2022","11","0.0035595522","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-11-13","2022","11","NA","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-11-01","2022","11","0.2077047496","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-11-02","2022","11","0.1197509558","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-11-03","2022","11","0.143344208","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-11-04","2022","11","0.0646862537","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-11-05","2022","11","0.0212624263","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-11-06","2022","11","0.1154866277","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-11-07","2022","11","0.0363687966","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-11-08","2022","11","0.0150861282","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-11-09","2022","11","0.1026672441","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-11-10","2022","11","0.2127650774","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-11-11","2022","11","0.2306285168","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-11-12","2022","11","0.6271120438","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-11-13","2022","11","0.2047577441","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-11-01","2022","11","0.2799225276","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-11-02","2022","11","0.1961385534","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-11-03","2022","11","0.1388311681","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-11-04","2022","11","0.0194054417","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-11-05","2022","11","0.0215224708","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-11-06","2022","11","0.0240477555","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-11-07","2022","11","0.1056267417","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-11-08","2022","11","0.0031637525","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-11-09","2022","11","0.0899916225","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-11-10","2022","11","0.2366460287","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-11-11","2022","11","0.284771058","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-11-12","2022","11","0.5676494876","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Upper","2022-11-13","2022","11","0.359985542","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-11-01","2022","11","0.0002613451","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-11-02","2022","11","0.0023443875","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-11-03","2022","11","0.0002248757","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-11-04","2022","11","0.0053905762","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-11-05","2022","11","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-11-06","2022","11","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-11-07","2022","11","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-11-08","2022","11","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-11-09","2022","11","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-11-10","2022","11","0.0011582393","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-11-11","2022","11","0.0064479685","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-11-12","2022","11","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-11-13","2022","11","0.0013139809","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-11-01","2022","11","0.000572237","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-11-03","2022","11","0.0823581442","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-11-02","2022","11","0.0115956348","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-11-04","2022","11","0.0033439571","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-11-05","2022","11","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-11-06","2022","11","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-11-07","2022","11","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-11-08","2022","11","NA","NRSC VIC MODEL"
