Basin,Date,Evapotranspiration (mm),Year
Brahmani and Baitarni Basin,2023-01-07,0.28,2023
Brahmani and Baitarni Basin,2023-01-08,0.29,2023
Brahmani and Baitarni Basin,2023-01-09,0.3,2023
Brahmani and Baitarni Basin,2023-01-10,0.31,2023
Brahmani and Baitarni Basin,2023-01-11,0.29,2023
Brahmani and Baitarni Basin,2023-01-12,0.31,2023
Brahmani and Baitarni Basin,2023-01-13,0.31,2023
Brahmani and Baitarni Basin,2023-01-14,0.31,2023
Brahmani and Baitarni Basin,2023-01-15,0.3,2023
Brahmani and Baitarni Basin,2023-01-17,0.27,2023
Brahmani and Baitarni Basin,2023-01-18,0.24,2023
Brahmani and Baitarni Basin,2023-01-19,0.27,2023
Brahmani and Baitarni Basin,2023-01-20,0.27,2023
Brahmani and Baitarni Basin,2023-01-21,0.28,2023
Brahmani and Baitarni Basin,2023-01-22,0.27,2023
Brahmani and Baitarni Basin,2023-01-23,0.27,2023
Brahmani and Baitarni Basin,2023-01-24,0.26,2023
Brahmani and Baitarni Basin,2023-01-25,0.26,2023
Brahmani and Baitarni Basin,2023-01-26,0.25,2023
Brahmani and Baitarni Basin,2023-01-27,0.24,2023
Brahmani and Baitarni Basin,2023-01-28,0.23,2023
Brahmani and Baitarni Basin,2023-01-29,0.23,2023
Brahmani and Baitarni Basin,2023-01-30,0.23,2023
Brahmani and Baitarni Basin,2023-01-31,0.22,2023
Brahmani and Baitarni Basin,2023-02-01,0.2,2023
Brahmani and Baitarni Basin,2023-02-02,0.2,2023
Brahmani and Baitarni Basin,2023-02-03,0.19,2023
Brahmani and Baitarni Basin,2023-02-04,0.2,2023
Brahmani and Baitarni Basin,2023-02-05,0.18,2023
Brahmani and Baitarni Basin,2023-02-06,0.19,2023
Brahmani and Baitarni Basin,2023-02-07,0.18,2023
Brahmani and Baitarni Basin,2023-02-08,0.18,2023
Brahmani and Baitarni Basin,2023-02-09,0.17,2023
Brahmani and Baitarni Basin,2023-02-10,0.17,2023
Brahmani and Baitarni Basin,2023-02-11,0.17,2023
Brahmani and Baitarni Basin,2023-02-12,0.17,2023
Brahmani and Baitarni Basin,2023-02-13,0.16,2023
Brahmani and Baitarni Basin,2023-02-14,0.16,2023
Brahmani and Baitarni Basin,2023-02-15,0.15,2023
Brahmani and Baitarni Basin,2023-02-16,0.15,2023
Brahmani and Baitarni Basin,2023-02-17,0.14,2023
Brahmani and Baitarni Basin,2023-02-18,0.14,2023
Brahmani and Baitarni Basin,2023-02-19,0.14,2023
Brahmani and Baitarni Basin,2023-02-20,0.14,2023
Brahmani and Baitarni Basin,2023-02-21,0.14,2023
Brahmani and Baitarni Basin,2023-02-22,0.13,2023
Brahmani and Baitarni Basin,2023-02-23,0.13,2023
Brahmani and Baitarni Basin,2023-02-24,0.13,2023
Brahmani and Baitarni Basin,2023-02-26,0.12,2023
Brahmani and Baitarni Basin,2023-02-27,0.12,2023
Brahmani and Baitarni Basin,2023-02-28,0.12,2023
Brahmani and Baitarni Basin,2023-03-01,0.11,2023
Brahmani and Baitarni Basin,2023-03-02,0.11,2023
Brahmani and Baitarni Basin,2023-03-03,0.11,2023
Brahmani and Baitarni Basin,2023-03-04,0.1,2023
Brahmani and Baitarni Basin,2023-03-05,0.1,2023
Brahmani and Baitarni Basin,2023-03-06,0.1,2023
Brahmani and Baitarni Basin,2023-03-07,0.1,2023
Brahmani and Baitarni Basin,2023-03-08,0.09,2023
Brahmani and Baitarni Basin,2023-03-09,0.16,2023
Brahmani and Baitarni Basin,2023-03-10,0.1,2023
Brahmani and Baitarni Basin,2023-03-11,0.15,2023
Brahmani and Baitarni Basin,2023-03-12,0.16,2023
Brahmani and Baitarni Basin,2023-03-13,0.13,2023
Brahmani and Baitarni Basin,2023-03-14,0.12,2023
Brahmani and Baitarni Basin,2023-03-15,0.11,2023
Brahmani and Baitarni Basin,2023-03-16,0.1,2023
Brahmani and Baitarni Basin,2023-03-17,0.58,2023
Brahmani and Baitarni Basin,2023-03-18,0.74,2023
Brahmani and Baitarni Basin,2023-03-19,1.2,2023
Brahmani and Baitarni Basin,2023-03-20,3.24,2023
Brahmani and Baitarni Basin,2023-03-21,0.98,2023
Brahmani and Baitarni Basin,2023-03-22,1.07,2023
Brahmani and Baitarni Basin,2023-03-23,0.98,2023
Brahmani and Baitarni Basin,2023-03-24,0.8,2023
Brahmani and Baitarni Basin,2023-03-25,0.75,2023
Brahmani and Baitarni Basin,2023-03-26,0.8,2023
Cauvery Basin,2022-11-01,2.47,2022
Cauvery Basin,2022-11-02,2.71,2022
Cauvery Basin,2022-11-03,2.91,2022
Cauvery Basin,2022-11-04,2.91,2022
Cauvery Basin,2022-11-05,2.97,2022
Cauvery Basin,2022-11-06,2.88,2022
Cauvery Basin,2022-11-07,2.96,2022
Cauvery Basin,2022-11-08,2.96,2022
Cauvery Basin,2022-11-09,2.76,2022
Cauvery Basin,2022-11-10,2.87,2022
Cauvery Basin,2022-11-11,1.47,2022
Cauvery Basin,2022-11-12,2.5,2022
Cauvery Basin,2022-11-13,3.08,2022
Cauvery Basin,2022-11-14,3.18,2022
Cauvery Basin,2022-11-15,3.12,2022
Cauvery Basin,2022-11-16,3.13,2022
Cauvery Basin,2022-11-17,3.17,2022
Cauvery Basin,2022-11-18,2.98,2022
Cauvery Basin,2022-11-19,2.88,2022
Cauvery Basin,2022-11-20,2.53,2022
Cauvery Basin,2022-11-21,3,2022
Cauvery Basin,2022-11-22,2.76,2022
Cauvery Basin,2022-11-23,2.51,2022
Cauvery Basin,2022-11-24,2.57,2022
Cauvery Basin,2022-11-25,2.72,2022
Cauvery Basin,2022-11-26,2.63,2022
Cauvery Basin,2022-11-27,2.33,2022
Cauvery Basin,2022-11-28,2.29,2022
Cauvery Basin,2022-11-29,2.21,2022
Cauvery Basin,2022-11-30,2.44,2022
Cauvery Basin,2022-12-01,1.82,2022
Cauvery Basin,2022-12-02,1.72,2022
Cauvery Basin,2022-12-03,1.66,2022
Cauvery Basin,2022-12-04,1.55,2022
Cauvery Basin,2022-12-05,1.94,2022
Cauvery Basin,2022-12-06,1.7,2022
Cauvery Basin,2022-12-07,1.57,2022
Cauvery Basin,2022-12-08,1.49,2022
Cauvery Basin,2022-12-09,1.08,2022
Cauvery Basin,2022-12-10,2.13,2022
Cauvery Basin,2022-12-11,1.85,2022
Cauvery Basin,2022-12-12,2.1,2022
Cauvery Basin,2022-12-13,2.39,2022
Cauvery Basin,2022-12-14,2.17,2022
Cauvery Basin,2022-12-15,2.19,2022
Cauvery Basin,2022-12-16,2.22,2022
Cauvery Basin,2022-12-17,2.16,2022
Cauvery Basin,2022-12-18,1.89,2022
Cauvery Basin,2022-12-19,1.89,2022
Cauvery Basin,2022-12-20,1.78,2022
Cauvery Basin,2022-12-21,1.77,2022
Cauvery Basin,2022-12-22,1.8,2022
Cauvery Basin,2022-12-23,1.8,2022
Cauvery Basin,2022-12-24,1.76,2022
Cauvery Basin,2022-12-25,1.45,2022
Cauvery Basin,2022-12-26,1.18,2022
Cauvery Basin,2022-12-27,1.69,2022
Cauvery Basin,2022-12-28,1.55,2022
Cauvery Basin,2022-12-29,1.65,2022
Cauvery Basin,2022-12-30,1.55,2022
Cauvery Basin,2022-12-31,1.55,2022
Cauvery Basin,2023-01-01,1.06,2023
Cauvery Basin,2023-01-02,0.98,2023
Cauvery Basin,2023-01-03,0.94,2023
Cauvery Basin,2023-01-04,0.91,2023
Cauvery Basin,2023-01-05,0.87,2023
Cauvery Basin,2023-01-06,0.85,2023
Cauvery Basin,2023-01-07,0.82,2023
Cauvery Basin,2023-01-08,0.77,2023
Cauvery Basin,2023-01-09,0.79,2023
Cauvery Basin,2023-01-10,0.81,2023
Cauvery Basin,2023-01-11,0.82,2023
Cauvery Basin,2023-01-12,0.81,2023
Cauvery Basin,2023-01-13,0.74,2023
Cauvery Basin,2023-01-14,0.77,2023
Cauvery Basin,2023-01-15,0.78,2023
Cauvery Basin,2023-01-17,0.72,2023
Cauvery Basin,2023-01-18,0.71,2023
Cauvery Basin,2023-01-19,0.7,2023
Cauvery Basin,2023-01-20,0.69,2023
Cauvery Basin,2023-01-21,0.64,2023
Cauvery Basin,2023-01-22,0.64,2023
Cauvery Basin,2023-01-23,0.6,2023
Cauvery Basin,2023-01-24,0.57,2023
Cauvery Basin,2023-01-25,0.75,2023
Cauvery Basin,2023-01-26,0.74,2023
Cauvery Basin,2023-01-27,0.68,2023
Cauvery Basin,2023-01-28,0.68,2023
Cauvery Basin,2023-01-29,0.67,2023
Cauvery Basin,2023-01-30,0.61,2023
Cauvery Basin,2023-01-31,0.61,2023
Cauvery Basin,2023-02-01,0.62,2023
Cauvery Basin,2023-02-02,0.53,2023
Cauvery Basin,2023-02-03,0.75,2023
Cauvery Basin,2023-02-04,1.07,2023
Cauvery Basin,2023-02-05,0.79,2023
Cauvery Basin,2023-02-06,0.73,2023
Cauvery Basin,2023-02-07,0.75,2023
Cauvery Basin,2023-02-08,0.71,2023
Cauvery Basin,2023-02-09,0.69,2023
Cauvery Basin,2023-02-10,0.68,2023
Cauvery Basin,2023-02-11,0.66,2023
Cauvery Basin,2023-02-12,0.63,2023
Cauvery Basin,2023-02-13,0.68,2023
Cauvery Basin,2023-02-14,0.65,2023
Cauvery Basin,2023-02-15,0.63,2023
Cauvery Basin,2023-02-16,0.62,2023
Cauvery Basin,2023-02-17,0.59,2023
Cauvery Basin,2023-02-18,0.59,2023
Cauvery Basin,2023-02-19,0.56,2023
Cauvery Basin,2023-02-20,0.56,2023
Cauvery Basin,2023-02-21,0.56,2023
Cauvery Basin,2023-02-22,0.54,2023
Cauvery Basin,2023-02-23,0.53,2023
Cauvery Basin,2023-02-24,0.52,2023
Cauvery Basin,2023-02-26,0.5,2023
Cauvery Basin,2023-02-27,0.48,2023
Cauvery Basin,2023-02-28,0.45,2023
Cauvery Basin,2023-03-01,0.43,2023
Cauvery Basin,2023-03-02,0.44,2023
Cauvery Basin,2023-03-03,0.44,2023
Cauvery Basin,2023-03-04,0.42,2023
Cauvery Basin,2023-03-05,0.42,2023
Cauvery Basin,2023-03-06,0.4,2023
Cauvery Basin,2023-03-07,0.4,2023
Cauvery Basin,2023-03-08,0.37,2023
Cauvery Basin,2023-03-09,0.37,2023
Cauvery Basin,2023-03-10,0.36,2023
Cauvery Basin,2023-03-11,0.37,2023
Cauvery Basin,2023-03-12,0.37,2023
Cauvery Basin,2023-03-13,0.36,2023
Cauvery Basin,2023-03-14,0.35,2023
Cauvery Basin,2023-03-15,0.34,2023
Cauvery Basin,2023-03-16,0.69,2023
Cauvery Basin,2023-03-17,0.9,2023
Cauvery Basin,2023-03-18,0.82,2023
Cauvery Basin,2023-03-19,0.74,2023
Cauvery Basin,2023-03-20,0.96,2023
Cauvery Basin,2023-03-21,0.76,2023
Cauvery Basin,2023-03-22,0.63,2023
Cauvery Basin,2023-03-23,0.59,2023
Cauvery Basin,2023-03-24,0.53,2023
Cauvery Basin,2023-03-25,0.84,2023
Cauvery Basin,2023-03-26,0.77,2023
East flowing rivers between Mahanadi and Pennar Basin,2022-11-01,1.99,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-02,2.4,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-03,2.14,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-04,2.25,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-05,2.28,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-06,2.24,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-07,2.19,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-08,2.08,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-09,1.95,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-10,1.81,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-11,1.57,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-12,1.49,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-13,1.71,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-14,1.62,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-15,1.57,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-16,1.59,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-17,1.58,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-18,1.32,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-19,1.26,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-20,1.09,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-21,1.09,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-22,1.57,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-23,1.28,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-24,1.23,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-25,1.13,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-26,1.2,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-27,1.2,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-28,1.18,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-29,1.17,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-11-30,1.15,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-01,0.86,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-02,0.79,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-03,0.74,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-04,0.71,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-05,0.71,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-06,0.69,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-07,0.68,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-08,0.68,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-09,0.5,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-10,1.06,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-11,1.93,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-12,1.6,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-13,1.5,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-14,1.23,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-15,1.23,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-16,1.19,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-17,1.08,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-18,0.98,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-19,1.07,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-20,1.08,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-21,1.04,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-22,0.98,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-23,1.01,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-24,1.02,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-25,0.97,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-26,0.91,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-27,0.93,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-28,0.92,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-29,0.85,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-30,0.86,2022
East flowing rivers between Mahanadi and Pennar Basin,2022-12-31,0.87,2022
East flowing rivers between Mahanadi and Pennar Basin,2023-01-01,0.73,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-02,0.69,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-03,0.68,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-04,0.66,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-05,0.59,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-06,0.65,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-07,0.66,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-08,0.68,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-09,0.71,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-10,0.72,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-11,0.72,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-12,0.72,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-13,0.7,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-14,0.7,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-15,0.7,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-17,0.66,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-18,0.65,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-19,0.63,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-20,0.62,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-21,0.57,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-22,0.6,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-23,0.59,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-24,0.59,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-25,0.57,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-26,0.57,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-27,0.56,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-28,0.55,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-29,0.53,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-30,0.5,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-01-31,0.5,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-01,0.46,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-02,0.47,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-03,0.45,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-04,0.45,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-05,0.44,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-06,0.43,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-07,0.42,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-08,0.41,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-09,0.41,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-10,0.4,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-11,0.4,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-12,0.39,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-13,0.38,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-14,0.38,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-15,0.37,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-16,0.35,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-17,0.34,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-18,0.32,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-19,0.32,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-20,0.32,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-21,0.31,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-22,0.31,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-23,0.29,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-24,0.28,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-26,0.28,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-27,0.27,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-02-28,0.26,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-01,0.25,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-02,0.24,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-03,0.24,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-04,0.23,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-05,0.22,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-06,0.22,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-07,0.21,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-08,0.21,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-09,0.21,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-10,0.21,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-11,0.23,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-12,0.23,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-13,0.21,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-14,0.2,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-15,0.19,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-16,0.23,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-17,0.78,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-18,1.58,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-19,0.94,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-20,3.3,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-21,1.7,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-22,2.13,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-23,1.77,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-24,1.95,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-25,2.05,2023
East flowing rivers between Mahanadi and Pennar Basin,2023-03-26,2.13,2023
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-01,1.71,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-02,2.44,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-03,3.1,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-04,3.05,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-05,3,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-06,2.96,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-07,3,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-08,2.88,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-09,2.86,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-10,2.9,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-11,1.8,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-12,2.73,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-13,2.92,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-14,3.18,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-15,3.25,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-16,3.15,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-17,3.25,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-18,2.98,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-19,2.86,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-20,2.5,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-21,2.88,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-22,2.7,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-23,2.71,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-24,2.82,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-25,2.86,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-26,2.79,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-27,2.54,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-28,2.51,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-29,2.47,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-11-30,2.69,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-01,1.87,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-02,2,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-03,1.89,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-04,1.83,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-05,2.19,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-06,1.94,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-07,1.73,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-08,1.47,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-09,1.35,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-10,2.15,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-11,2.4,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-12,1.97,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-13,2.3,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-14,2.48,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-15,2.31,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-16,2.5,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-17,2.43,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-18,2.09,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-19,2.11,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-20,2.01,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-21,1.99,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-22,2.03,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-23,2.06,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-24,2.01,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-25,1.58,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-26,1.6,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-27,2.24,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-28,2.09,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-29,2.1,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-30,2.04,2022
East flowing rivers between Pennar and Kanyakumari Basin,2022-12-31,1.97,2022
East flowing rivers between Pennar and Kanyakumari Basin,2023-01-01,1.26,2023
East flowing rivers between Pennar and Kanyakumari Basin,2023-01-02,1.19,2023
East flowing rivers between Pennar and Kanyakumari Basin,2023-01-03,1.13,2023
East flowing rivers between Pennar and Kanyakumari Basin,2023-01-04,1.09,2023
East flowing rivers between Pennar and Kanyakumari Basin,2023-01-05,1.01,2023
East flowing rivers between Pennar and Kanyakumari Basin,2023-01-06,1.03,2023
East flowing rivers between Pennar and Kanyakumari Basin,2023-01-07,0.97,2023
East flowing rivers between Pennar and Kanyakumari Basin,2023-01-08,0.9,2023
East flowing rivers between Pennar and Kanyakumari Basin,2023-01-09,0.94,2023
East flowing rivers between Pennar and Kanyakumari Basin,2023-01-10,0.93,2023
East flowing rivers between Pennar and Kanyakumari Basin,2023-01-11,0.92,2023
East flowing rivers between Pennar and Kanyakumari Basin,2023-01-12,0.91,2023
East flowing rivers between Pennar and Kanyakumari Basin,2023-01-13,0.86,2023
East flowing rivers between Pennar and Kanyakumari Basin,2023-01-14,0.84,2023
East flowing rivers between Pennar and Kanyakumari Basin,2023-01-15,0.82,2023
East flowing rivers between Pennar and Kanyakumari Basin,2023-01-17,0.79,2023
East flowing rivers between Pennar and Kanyakumari Basin,2023-01-18,0.78,2023
East flowing rivers between Pennar and Kanyakumari Basin,2023-01-19,0.77,2023
East flowing rivers between Pennar and Kanyakumari Basin,2023-01-20,0.73,2023
East flowing rivers between Pennar and Kanyakumari Basin,2023-01-21,0.59,2023
